match_number,round,date_utc,group,location,home_team,away_team,home_team_id,away_team_id,home_elo,away_elo,home_fifa_rank,away_fifa_rank,home_attack,home_defense,away_attack,away_defense,elo_diff,elo_expected_home,host_home,neutral
1,1,2026-06-11 19:00:00Z,Group A,Mexico City Stadium,Mexico,South Africa,334.0,468.0,1835.0,1550.0,14.0,59.0,1.1,0.8,1.5,1.1,285.0,0.8376154583713974,1,0
2,1,2026-06-12 02:00:00Z,Group A,Guadalajara Stadium,Korea Republic,Czechia,267.0,125.0,,,,,1.5,1.2,1.8,1.2,,,0,1
3,1,2026-06-12 19:00:00Z,Group B,Toronto Stadium,Canada,Bosnia and Herzegovina,97.0,72.0,1802.0,1572.0,49.0,74.0,1.2,0.5,2.1,1.1,230.0,0.7898441797581306,1,0
4,1,2026-06-13 01:00:00Z,Group D,Los Angeles Stadium,USA,Paraguay,525.0,392.0,,1833.0,,56.0,1.7,1.6,1.1,1.0,,,1,0
8,1,2026-06-13 19:00:00Z,Group B,San Francisco Bay Area Stadium,Qatar,Switzerland,400.0,481.0,1425.0,1897.0,34.0,19.0,0.9,1.9,2.5,0.8,-472.0,0.06197471592535801,0,1
7,1,2026-06-13 22:00:00Z,Group C,New York/New Jersey Stadium,Brazil,Morocco,74.0,341.0,1978.0,1840.0,5.0,13.0,1.8,0.8,1.8,0.5,138.0,0.6887735686687132,0,1
5,1,2026-06-14 01:00:00Z,Group C,Boston Stadium,Haiti,Scotland,220.0,452.0,1542.0,,90.0,39.0,1.1,1.1,1.8,1.2,,,0,1
6,1,2026-06-14 04:00:00Z,Group D,BC Place Vancouver,Australia,Türkiye,33.0,520.0,1774.0,,24.0,40.0,1.5,0.9,2.3,1.4,,,0,1
10,1,2026-06-14 17:00:00Z,Group E,Houston Stadium,Germany,Curaçao,201.0,123.0,1910.0,1466.0,16.0,,2.3,1.1,1.6,1.3,444.0,0.9279668414961574,0,1
11,1,2026-06-14 20:00:00Z,Group F,Dallas Stadium,Netherlands,Japan,358.0,243.0,1959.0,1878.0,7.0,18.0,3.2,0.8,1.8,0.7,81.0,0.6145013610085578,0,1
9,1,2026-06-14 23:00:00Z,Group E,Philadelphia Stadium,Côte d'Ivoire,Ecuador,127.0,152.0,,1933.0,,31.0,2.6,0.7,0.7,0.4,,,0,1
12,1,2026-06-15 02:00:00Z,Group F,Monterrey Stadium,Sweden,Tunisia,480.0,515.0,1660.0,1615.0,27.0,41.0,1.8,1.7,1.7,1.2,45.0,0.5644004902404213,0,1
14,1,2026-06-15 16:00:00Z,Group H,Atlanta Stadium,Spain,Cabo Verde,472.0,94.0,2172.0,,8.0,,3.4,1.1,1.7,1.0,,,0,1
16,1,2026-06-15 19:00:00Z,Group G,Seattle Stadium,Belgium,Egypt,64.0,153.0,1849.0,1622.0,3.0,37.0,3.7,0.9,1.3,0.8,227.0,0.7869632793894692,0,1
13,1,2026-06-15 22:00:00Z,Group H,Miami Stadium,Saudi Arabia,Uruguay,450.0,533.0,1592.0,1890.0,53.0,15.0,0.9,1.3,1.0,0.9,-298.0,0.15246127600415,0,1
15,1,2026-06-16 01:00:00Z,Group G,Los Angeles Stadium,IR Iran,New Zealand,229.0,361.0,,1585.0,,104.0,1.6,0.7,0.8,1.4,,,0,1
17,1,2026-06-16 19:00:00Z,Group I,New York/New Jersey Stadium,France,Senegal,177.0,455.0,2062.0,1807.0,2.0,17.0,2.6,1.0,2.5,0.6,255.0,0.8127376816365348,0,1
18,1,2026-06-16 22:00:00Z,Group I,Boston Stadium,Iraq,Norway,234.0,371.0,1582.0,1922.0,58.0,47.0,1.1,0.7,3.5,0.8,-340.0,0.12377068106893543,0,1
19,1,2026-06-17 01:00:00Z,Group J,Kansas City Stadium,Argentina,Algeria,28.0,19.0,2113.0,1757.0,1.0,43.0,2.1,0.4,2.3,0.5,356.0,0.8858769425858495,0,1
20,1,2026-06-17 04:00:00Z,Group J,San Francisco Bay Area Stadium,Austria,Jordan,34.0,245.0,1818.0,1689.0,25.0,71.0,2.7,0.7,2.0,1.5,129.0,0.6775605800851006,0,1
23,1,2026-06-17 17:00:00Z,Group K,Houston Stadium,Portugal,Congo DR,397.0,115.0,1976.0,,6.0,,2.9,1.2,1.3,0.6,,,0,1
22,1,2026-06-17 20:00:00Z,Group L,Dallas Stadium,England,Croatia,157.0,121.0,2042.0,1932.0,4.0,10.0,2.5,0.4,2.8,0.7,110.0,0.6532171672188698,0,1
21,1,2026-06-17 23:00:00Z,Group L,Toronto Stadium,Ghana,Panama,202.0,389.0,1509.0,1742.0,68.0,45.0,1.5,1.3,1.3,0.8,-233.0,0.20730361582423143,0,1
24,1,2026-06-18 02:00:00Z,Group K,Mexico City Stadium,Uzbekistan,Colombia,534.0,112.0,1735.0,1998.0,64.0,12.0,1.6,0.7,2.2,0.9,-263.0,0.18035418550531074,0,1
25,2,2026-06-18 16:00:00Z,Group A,Atlanta Stadium,Czechia,South Africa,125.0,468.0,,1550.0,,59.0,1.8,1.2,1.5,1.1,,,0,1
26,2,2026-06-18 19:00:00Z,Group B,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,481.0,72.0,1897.0,1572.0,19.0,74.0,2.5,0.8,2.1,1.1,325.0,0.8665566437895401,0,1
27,2,2026-06-18 22:00:00Z,Group B,BC Place Vancouver,Canada,Qatar,97.0,400.0,1802.0,1425.0,49.0,34.0,1.2,0.5,0.9,1.9,377.0,0.8975401141287239,1,0
28,2,2026-06-19 01:00:00Z,Group A,Guadalajara Stadium,Mexico,Korea Republic,334.0,267.0,1835.0,,14.0,,1.1,0.8,1.5,1.2,,,1,0
32,2,2026-06-19 19:00:00Z,Group D,Seattle Stadium,USA,Australia,525.0,33.0,,1774.0,,24.0,1.7,1.6,1.5,0.9,,,1,0
30,2,2026-06-19 22:00:00Z,Group C,Boston Stadium,Scotland,Morocco,452.0,341.0,,1840.0,39.0,13.0,1.8,1.2,1.8,0.5,,,0,1
29,2,2026-06-20 01:00:00Z,Group C,Philadelphia Stadium,Brazil,Haiti,74.0,220.0,1978.0,1542.0,5.0,90.0,1.8,0.8,1.1,1.1,436.0,0.9248272212397116,0,1
31,2,2026-06-20 04:00:00Z,Group D,San Francisco Bay Area Stadium,Türkiye,Paraguay,520.0,392.0,,1833.0,40.0,56.0,2.3,1.4,1.1,1.0,,,0,1
35,2,2026-06-20 17:00:00Z,Group F,Houston Stadium,Netherlands,Sweden,358.0,480.0,1959.0,1660.0,7.0,27.0,3.2,0.8,1.8,1.7,299.0,0.8482810687127118,0,1
33,2,2026-06-20 20:00:00Z,Group E,Toronto Stadium,Germany,Côte d'Ivoire,201.0,127.0,1910.0,,16.0,,2.3,1.1,2.6,0.7,,,0,1
34,2,2026-06-21 00:00:00Z,Group E,Kansas City Stadium,Ecuador,Curaçao,152.0,123.0,1933.0,1466.0,31.0,,0.7,0.4,1.6,1.3,467.0,0.936330811469416,0,1
36,2,2026-06-21 04:00:00Z,Group F,Monterrey Stadium,Tunisia,Japan,515.0,243.0,1615.0,1878.0,41.0,18.0,1.7,1.2,1.8,0.7,-263.0,0.18035418550531074,0,1
38,2,2026-06-21 16:00:00Z,Group H,Atlanta Stadium,Spain,Saudi Arabia,472.0,450.0,2172.0,1592.0,8.0,53.0,3.4,1.1,0.9,1.3,580.0,0.9657344487151751,0,1
39,2,2026-06-21 19:00:00Z,Group G,Los Angeles Stadium,Belgium,IR Iran,64.0,229.0,1849.0,,3.0,,3.7,0.9,1.6,0.7,,,0,1
37,2,2026-06-21 22:00:00Z,Group H,Miami Stadium,Uruguay,Cabo Verde,533.0,94.0,1890.0,,15.0,,1.0,0.9,1.7,1.0,,,0,1
40,2,2026-06-22 01:00:00Z,Group G,BC Place Vancouver,New Zealand,Egypt,361.0,153.0,1585.0,1622.0,104.0,37.0,0.8,1.4,1.3,0.8,-37.0,0.4469531048305375,0,1
43,2,2026-06-22 17:00:00Z,Group J,Dallas Stadium,Argentina,Austria,28.0,34.0,2113.0,1818.0,1.0,25.0,2.1,0.4,2.7,0.7,295.0,0.8452938106179996,0,1
42,2,2026-06-22 21:00:00Z,Group I,Philadelphia Stadium,France,Iraq,177.0,234.0,2062.0,1582.0,2.0,58.0,2.6,1.0,1.1,0.7,480.0,0.9406490568972323,0,1
41,2,2026-06-23 00:00:00Z,Group I,New York/New Jersey Stadium,Norway,Senegal,371.0,455.0,1922.0,1807.0,47.0,17.0,3.5,0.8,2.5,0.6,115.0,0.6597079941447481,0,1
44,2,2026-06-23 03:00:00Z,Group J,San Francisco Bay Area Stadium,Jordan,Algeria,245.0,19.0,1689.0,1757.0,71.0,43.0,2.0,1.5,2.3,0.5,-68.0,0.403370826694226,0,1
47,2,2026-06-23 17:00:00Z,Group K,Houston Stadium,Portugal,Uzbekistan,397.0,534.0,1976.0,1735.0,6.0,64.0,2.9,1.2,1.6,0.7,241.0,0.8001620559151359,0,1
45,2,2026-06-23 20:00:00Z,Group L,Boston Stadium,England,Ghana,157.0,202.0,2042.0,1509.0,4.0,68.0,2.5,0.4,1.5,1.3,533.0,0.9555615730980401,0,1
46,2,2026-06-23 23:00:00Z,Group L,Toronto Stadium,Panama,Croatia,389.0,121.0,1742.0,1932.0,45.0,10.0,1.3,0.8,2.8,0.7,-190.0,0.2509169371224644,0,1
48,2,2026-06-24 02:00:00Z,Group K,Guadalajara Stadium,Colombia,Congo DR,112.0,115.0,1998.0,,12.0,,2.2,0.9,1.3,0.6,,,0,1
51,3,2026-06-24 19:00:00Z,Group B,BC Place Vancouver,Switzerland,Canada,481.0,97.0,1897.0,1802.0,19.0,49.0,2.5,0.8,1.2,0.5,95.0,0.6334077000711676,0,1
52,3,2026-06-24 19:00:00Z,Group B,Seattle Stadium,Bosnia and Herzegovina,Qatar,72.0,400.0,1572.0,1425.0,74.0,34.0,2.1,1.1,0.9,1.9,147.0,0.6997694032620582,0,1
49,3,2026-06-24 22:00:00Z,Group C,Miami Stadium,Scotland,Brazil,452.0,74.0,,1978.0,39.0,5.0,1.8,1.2,1.8,0.8,,,0,1
50,3,2026-06-24 22:00:00Z,Group C,Atlanta Stadium,Morocco,Haiti,341.0,220.0,1840.0,1542.0,13.0,90.0,1.8,0.5,1.1,1.1,298.0,0.8475387239958501,0,1
53,3,2026-06-25 01:00:00Z,Group A,Mexico City Stadium,Czechia,Mexico,125.0,334.0,,1835.0,,14.0,1.8,1.2,1.1,0.8,,,0,1
54,3,2026-06-25 01:00:00Z,Group A,Monterrey Stadium,South Africa,Korea Republic,468.0,267.0,1550.0,,59.0,,1.5,1.1,1.5,1.2,,,0,1
55,3,2026-06-25 20:00:00Z,Group E,Philadelphia Stadium,Curaçao,Côte d'Ivoire,123.0,127.0,1466.0,,,,1.6,1.3,2.6,0.7,,,0,1
56,3,2026-06-25 20:00:00Z,Group E,New York/New Jersey Stadium,Ecuador,Germany,152.0,201.0,1933.0,1910.0,31.0,16.0,0.7,0.4,2.3,1.1,23.0,0.5330513938844411,0,1
57,3,2026-06-25 23:00:00Z,Group F,Dallas Stadium,Japan,Sweden,243.0,480.0,1878.0,1660.0,18.0,27.0,1.8,0.7,1.8,1.7,218.0,0.7781484542191325,0,1
58,3,2026-06-25 23:00:00Z,Group F,Kansas City Stadium,Tunisia,Netherlands,515.0,358.0,1615.0,1959.0,41.0,7.0,1.7,1.2,3.2,0.8,-344.0,0.12129504878814854,0,1
59,3,2026-06-26 02:00:00Z,Group D,Los Angeles Stadium,Türkiye,USA,520.0,525.0,,,40.0,,2.3,1.4,1.7,1.6,,,0,1
60,3,2026-06-26 02:00:00Z,Group D,San Francisco Bay Area Stadium,Paraguay,Australia,392.0,33.0,1833.0,1774.0,56.0,24.0,1.1,1.0,1.5,0.9,59.0,0.584100958813678,0,1
61,3,2026-06-26 19:00:00Z,Group I,Boston Stadium,Norway,France,371.0,177.0,1922.0,2062.0,47.0,2.0,3.5,0.8,2.6,1.0,-140.0,0.308763847585237,0,1
62,3,2026-06-26 19:00:00Z,Group I,Toronto Stadium,Senegal,Iraq,455.0,234.0,1807.0,1582.0,17.0,58.0,2.5,0.6,1.1,0.7,225.0,0.785026736998172,0,1
65,3,2026-06-27 00:00:00Z,Group H,Houston Stadium,Cabo Verde,Saudi Arabia,94.0,450.0,,1592.0,,53.0,1.7,1.0,0.9,1.3,,,0,1
66,3,2026-06-27 00:00:00Z,Group H,Guadalajara Stadium,Uruguay,Spain,533.0,472.0,1890.0,2172.0,15.0,8.0,1.0,0.9,3.4,1.1,-282.0,0.16474716768603853,0,1
63,3,2026-06-27 03:00:00Z,Group G,Seattle Stadium,Egypt,IR Iran,153.0,229.0,1622.0,,37.0,,1.3,0.8,1.6,0.7,,,0,1
64,3,2026-06-27 03:00:00Z,Group G,BC Place Vancouver,New Zealand,Belgium,361.0,64.0,1585.0,1849.0,104.0,3.0,0.8,1.4,3.7,0.9,-264.0,0.17950479271357694,0,1
67,3,2026-06-27 21:00:00Z,Group L,New York/New Jersey Stadium,Panama,England,389.0,157.0,1742.0,2042.0,45.0,4.0,1.3,0.8,2.5,0.4,-300.0,0.15097955721132328,0,1
68,3,2026-06-27 21:00:00Z,Group L,Philadelphia Stadium,Croatia,Ghana,121.0,202.0,1932.0,1509.0,10.0,68.0,2.8,0.7,1.5,1.3,423.0,0.9194563824269116,0,1
71,3,2026-06-27 23:30:00Z,Group K,Miami Stadium,Colombia,Portugal,112.0,397.0,1998.0,1976.0,12.0,6.0,2.2,0.9,2.9,1.2,22.0,0.5316182978281073,0,1
72,3,2026-06-27 23:30:00Z,Group K,Atlanta Stadium,Congo DR,Uzbekistan,115.0,534.0,,1735.0,,64.0,1.3,0.6,1.6,0.7,,,0,1
69,3,2026-06-28 02:00:00Z,Group J,Kansas City Stadium,Algeria,Austria,19.0,34.0,1757.0,1818.0,43.0,25.0,2.3,0.5,2.7,0.7,-61.0,0.41310497662089996,0,1
70,3,2026-06-28 02:00:00Z,Group J,Dallas Stadium,Jordan,Argentina,245.0,28.0,1689.0,2113.0,71.0,1.0,2.0,1.5,2.1,0.4,-424.0,0.08011834302901932,0,1
73,4,2026-06-28 19:00:00Z,,Los Angeles Stadium,2A,2B,,,,,,,,,,,,,0,1
76,4,2026-06-29 17:00:00Z,,Houston Stadium,1C,2F,,,,,,,,,,,,,0,1
74,4,2026-06-29 20:30:00Z,,Boston Stadium,1E,3ABCDF,,,,,,,,,,,,,0,1
75,4,2026-06-30 01:00:00Z,,Monterrey Stadium,1F,2C,,,,,,,,,,,,,0,1
78,4,2026-06-30 17:00:00Z,,Dallas Stadium,2E,2I,,,,,,,,,,,,,0,1
77,4,2026-06-30 21:00:00Z,,New York/New Jersey Stadium,1I,3CDFGH,,,,,,,,,,,,,0,1
79,4,2026-07-01 01:00:00Z,,Mexico City Stadium,1A,3CEFHI,,,,,,,,,,,,,0,1
80,4,2026-07-01 16:00:00Z,,Atlanta Stadium,1L,3EHIJK,,,,,,,,,,,,,0,1
82,4,2026-07-01 20:00:00Z,,Seattle Stadium,1G,3AEHIJ,,,,,,,,,,,,,0,1
81,4,2026-07-02 00:00:00Z,,San Francisco Bay Area Stadium,1D,3BEFIJ,,,,,,,,,,,,,0,1
84,4,2026-07-02 19:00:00Z,,Los Angeles Stadium,1H,2J,,,,,,,,,,,,,0,1
83,4,2026-07-02 23:00:00Z,,Toronto Stadium,2K,2L,,,,,,,,,,,,,0,1
85,4,2026-07-03 03:00:00Z,,BC Place Vancouver,1B,3EFGIJ,,,,,,,,,,,,,0,1
88,4,2026-07-03 18:00:00Z,,Dallas Stadium,2D,2G,,,,,,,,,,,,,0,1
86,4,2026-07-03 22:00:00Z,,Miami Stadium,1J,2H,,,,,,,,,,,,,0,1
87,4,2026-07-04 01:30:00Z,,Kansas City Stadium,1K,3DEIJL,,,,,,,,,,,,,0,1
90,5,2026-07-04 17:00:00Z,,Houston Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
89,5,2026-07-04 21:00:00Z,,Philadelphia Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
91,5,2026-07-05 20:00:00Z,,New York/New Jersey Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
92,5,2026-07-06 00:00:00Z,,Mexico City Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
93,5,2026-07-06 19:00:00Z,,Dallas Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
94,5,2026-07-07 00:00:00Z,,Seattle Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
95,5,2026-07-07 16:00:00Z,,Atlanta Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
96,5,2026-07-07 20:00:00Z,,BC Place Vancouver,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
97,6,2026-07-09 20:00:00Z,,Boston Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
98,6,2026-07-10 19:00:00Z,,Los Angeles Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
99,6,2026-07-11 21:00:00Z,,Miami Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
100,6,2026-07-12 01:00:00Z,,Kansas City Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
101,7,2026-07-14 19:00:00Z,,Dallas Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
102,7,2026-07-15 19:00:00Z,,Atlanta Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
103,8,2026-07-18 21:00:00Z,,Miami Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
104,8,2026-07-19 19:00:00Z,,New York/New Jersey Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
